Code,Mark
5054,Adclip + Left Ventral Right Ventral Left Maxillary
5055,Adclip + Left Ventral Right Ventral Right Maxillary
5056,Adclip + Left Ventral Right Maxillary
5057,Adclip + Left Ventral Dorsal
5058,Adclip + Left Ventral Anal
5059,Adclip + Left Ventral Caudal
5060,Adclip + Left Ventral Freeze Brand
5061,Adclip + Left Ventral + Elastomer Injection Left Eye
5070,Adclip + Right Ventral Left Pectoral
5071,Adclip + Right Ventral Right Pectoral
5072,Adclip + Right Ventral Left Maxillary
5073,Adclip + Right Ventral Right Maxillary
5074,Adclip + Right Ventral Dorsal
5075,Adclip + Right Ventral Anal
5076,Adclip + Right Ventral Caudal
5077,Adclip + Right Ventral Freeze Brand
5090,Adclip + Left Pectoral
5091,Adclip + Left Pectoral Left Maxillary
5092,Adclip + Left Pectoral Right Maxillary
5093,Adclip + Left Pectoral Right Maxillary Anal
5094,Adclip + Left Pectoral Dorsal
5095,Adclip + Left Pectoral Anal
5100,Adclip + Right Pectoral
5101,Adclip + Right Pectoral Left Maxillary
5102,Adclip + Right Pectoral Right Maxillary
5103,Adclip + Right Pectoral Right Maxillary Anal
5104,Adclip + Right Pectoral Dorsal
5105,Adclip + Right Pectoral Anal
5110,Adclip + Left Maxillary
5111,Adclip + Left Maxillary Right Maxillary
5112,Adclip + Left Maxillary Dorsal
5113,Adclip + Left Maxillary Anal
5120,Adclip + Right Maxillary
5121,Adclip + Right Maxillary Dorsal
5122,Adclip + Right Maxillary Anal
5130 ,Adclip + Dorsal
5132 ,Adclip + Dorsal + Elastomer Injection Right Eye Green
5140,Adclip + Anal
5150,Adclip + Caudal
5151,Adclip + Caudal + Elastomer Injection Left Eye Red
5152,Adclip + Caudal + Elastomer Injection Right Eye Red
5190,Adclip + Jet
5200,Adclip + Visual Implant Alpha-numeric
5201,Adclip + Visual Implant Elastomer Injection
5202,Adclip + Visual Implant Fluorescent Filament
5203,Adclip + Elastomer Injection Left Eye Blue
5204,Adclip + Elastomer Injection Right Eye Blue
5205,Adclip + Elastomer Injection Left Eye Red
5206,Adclip + Elastomer Injection Right Eye Red
5207,Adclip + Elastomer Injection Left Eye Green
5208,Adclip + Elastomer Injection Right Eye Green
5209,Adclip + Elastomer Injection Left Eye Orange
5210,Adclip + Elastomer Injection Right Eye Orange
5211,Adclip + Jet Left Ventral
5212,Adclip + Jet Left Pectoral
5213,Adclip + Jet Anal
5214,Adclip + Elastomer Injection Left Eye Yellow
5215,Adclip + Elastomer Injection Right Eye Yellow
5216,Adclip + Elastomer Injection Left Jaw Green
5218,Adclip + Elastomer Injection Left Eye Pink
5219,Adclip + Elastomer Injection Right Eye Pink
5300,Adclip + Freeze Brand
5350,Adclip + PIT Tag
5400,Adclip + Left Ventral + PIT Tag
5500,Adclip + Floy Tag
5501,Adclip + Otolith
5502,Adclip + Otolith + Left Ventral
5520,Adclip + Otolith + Right Ventral
5600,Adclip + Otolith + Right Maxillary
5351,Adclip + Wire Tag in Area Other Than Snout
